ID,PosX,PosY,PosZ,ScaleX,ScaleY,ScaleZ,RotX,RotY,RotZ,Texture
Floor,0,0,0,50,0.1,50,0,0,0,
OutWall,0,25,25,50,0.1,50,270,0,0,Wall01_TX
OutWall,25,25,0,50,0.1,50,270,90,0,Wall01_TX
OutWall,0,25,-25,50,0.1,50,90,0,0,Wall01_TX
OutWall,-25,25,0,50,0.1,50,270,270,0,Wall01_TX
UpperWall,0,10,6,30,10,0.25,0,0,0,Wall01_TX
UpperWall,0,10,-6,30,10,0.25,0,0,0,Wall01_TX
UpperWall,0.00E+00,10,15.75,5,10,0.25,0,0,0,Wall01_TX
UpperWall,0,10,-15.75,5,10,0.25,0,0,0,Wall01_TX
UpperWall,15.125,10,10.875,10,10,0.25,0,90,0,Wall01_TX
UpperWall,-15.125,10,10.875,10,10,0.25,0,90,0,Wall01_TX
UpperWall,15.125,10,-10.875,10,10,0.25,0,90,0,Wall01_TX
UpperWall,-15.125,10,-10.875,10,10,0.25,0,90,0,Wall01_TX
UpperWall,8.750002,7.5,15.75,12.5,15,0.25,0,0,0,Wall01_TX
UpperWall,-8.749998,7.5,15.75,12.5,15,0.25,0,0,0,Wall01_TX
UpperWall,8.750002,7.5,-15.75,12.5,15,0.25,0,0,0,Wall01_TX
UpperWall,-8.749998,7.5,-15.75,12.5,15,0.25,0,0,0,Wall01_TX
LowerWall,14.25,2.5,6,1.5,5,0.25,0,0,0,Wall01_TX
LowerWall,9.25,2.5,6,1.5,5,0.25,0,0,0,Wall01_TX
LowerWall,-14.25,2.5,6,1.5,5,0.25,0,0,0,Wall01_TX
LowerWall,-9.25,2.5,6,1.5,5,0.25,0,0,0,Wall01_TX
LowerWall,-3.75,2.5,6,2.5,5,0.25,0,0,0,Wall01_TX
LowerWall,3.75,2.5,6,2.5,5,0.25,0,0,0,Wall01_TX
LowerWall,14.25,2.5,6,1.5,5,0.25,0,0,0,Wall01_TX
LowerWall,-15.125,2.5,10.875,10,5,0.25,0,90,0,Wall01_TX
LowerWall,15.125,2.5,10.875,10,5,0.25,0,90,0,Wall01_TX
RoomBorderWall,-2.749998,7.5,10.875,0.5,15,9.5,0,0,0,Wall01_TX
RoomBorderWall,2.750002,7.5,10.875,0.5,15,9.5,0,0,0,Wall01_TX
LowerWall,14.25,2.5,-6,1.5,5,0.25,0,0,0,Wall01_TX
LowerWall,9.25,2.5,-6,1.5,5,0.25,0,0,0,Wall01_TX
LowerWall,-14.25,2.5,-6,1.5,5,0.25,0,0,0,Wall01_TX
LowerWall,-9.25,2.5,-6,1.5,5,0.25,0,0,0,Wall01_TX
LowerWall,-3.75,2.5,-6,2.5,5,0.25,0,0,0,Wall01_TX
LowerWall,3.75,2.5,-6,2.5,5,0.25,0,0,0,Wall01_TX
LowerWall,14.25,2.5,-6,1.5,5,0.25,0,0,0,Wall01_TX
LowerWall,-15.125,2.5,-10.875,10,5,0.25,0,90,0,Wall01_TX
LowerWall,15.125,2.5,-10.875,10,5,0.25,0,90,0,Wall01_TX
RoomBorderWall,-2.749998,7.5,-10.875,0.5,15,9.5,0,0,0,Wall01_TX
RoomBorderWall,2.750002,7.5,-10.875,0.5,15,9.5,0,0,0,Wall01_TX
rack,-15.75,0.5,-9.3,1,1,1,0,-90,0,
