name, PosX, PosY, PosZ, ScaleX, ScaleY, ScaleZ, RotX, RotY, RotZ,,
Block,-28.75,2,31,2.5,5,0.25,0,0,0,Wall,
Block,-25,9.5,-19,30,10,0.25,0,0,0,Wall,
Block,-21.25,2,-19,2.5,5,0.25,0,0,0,Wall,
Block,-10.75,2,-19,1.5,5,0.25,0,0,0,Wall,
Block,-34.25,2,-31,1.5,5,0.25,0,0,0,Wall,
Block,-9.875,9.5,-14.125,9.999998,10,0.25,0,90,0,Wall,
Block,-25,9.5,-40.75,5,10,0.25,0,0,0,Wall,
Block,-33.75,7,-9.25,12.5,15,0.25,0,0,0,Wall,
Block,-40.125,9.5,14.125,9.999998,10,0.25,0,90,0,Wall,
Block,39.25,2,31,1.5,5,0.25,0,0,0,Wall,
Block,-39.25,2,-31,1.5,5,0.25,0,0,0,Wall,
Block,-28.75,2,-19,2.5,5,0.25,0,0,0,Wall,
Block,-10.75,2,19,1.5,5,0.25,0,0,0,Wall,
Block,35.52,2.25,-34.92,0.5,5,30,0,0,0,Wall,
Block,-40.125,2,14.125,9.999998,5,0.25,0,90,0,Wall,
Block,-16.25,7,-9.25,12.5,15,0.25,0,0,0,Wall,
Block,21.25,2,31,2.5,5,0.25,0,0,0,Wall,
Block,-9.875,2,14.125,9.999998,5,0.25,0,90,0,Wall,
Block,-39.25,2,31,1.5,5,0.25,0,0,0,Wall,
Block,-33.75,7,40.75,12.5,15,0.25,0,0,0,Wall,
Block,0,-0.5,0,100,0.1,100,0,0,0,Floor,
Block,-22.25,7,14.125,0.5,15,9.5,0,0,0,Wall,
Block,-33.75,7,-40.75,12.5,15,0.25,0,0,0,Wall,
Block,25,9.5,31,30,10,0.25,0,0,0,Wall,
Block,-9.875,2,-14.125,9.999998,5,0.25,0,90,0,Wall,
Block,20,2.25,-7.1,5,5,15,0,90,0,Wall,
Block,1.25,2.25,-14.65,20,5,0.5,0,90,0,Wall,
Block,27.25,2.25,-2.1,5,5,0.5,0,90,0,Wall,
Block,40.33,2.25,3.93,7.5,5,10,0,90,0,Wall,
Block,47.35,2.25,-20.56,5,5,0.5,0,0,0,Wall,
Block,20,2.25,12.8,5,5,15,0,90,0,Wall,
Block,27.25,2.25,17.8,5,5,0.5,0,90,0,Wall,
Block,12.75,2.25,7.8,5,5,0.5,0,90,0,Wall,
Block,38.75,2.25,17.8,5,5,22.5,0,90,0,Wall,
Block,-9.875,9.5,35.875,9.999998,10,0.25,0,90,0,Wall,
Block,19.97,4.6,2.24,2,10,2,0,90,0,Wall,
Block,-40.125,9.5,-35.875,9.999998,10,0.25,0,90,0,Wall,
Block,-40.125,2,-14.125,9.999998,5,0.25,0,90,0,Wall,
Block,-25,9.5,-9.25,5,10,0.25,0,0,0,Wall,
Block,20,2.25,-27.42,15,5,15,0,90,0,Wall,
Block,-27.75,7,-35.875,0.5,15,9.5,0,0,0,Wall,
Block,-15.75,2,19,1.5,5,0.25,0,0,0,Wall,
Block,-22.25,7,-14.125,0.5,15,9.5,0,0,0,Wall,
Block,-28.75,2,-31,2.5,5,0.25,0,0,0,Wall,
Block,-27.75,7,-14.125,0.5,15,9.5,0,0,0,Wall,
Block,-40.125,2,-35.875,9.999998,5,0.25,0,90,0,Wall,
Block,-16.25,7,9.25,12.5,15,0.25,0,0,0,Wall,
Block,16.25,0.75,-42.06,2.5,2,22.5,0,90,0,Wall,
Block,-9.875,9.5,14.125,9.999998,10,0.25,0,90,0,Wall,
Block,-25,9.5,40.75,5,10,0.25,0,0,0,Wall,
Block,-25,9.5,19,30,10,0.25,0,0,0,Wall,
Block,-39.25,2,19,1.5,5,0.25,0,0,0,Wall,
Block,-40.125,2,35.875,9.999998,5,0.25,0,90,0,Wall,
Block,-34.25,2,-19,1.5,5,0.25,0,0,0,Wall,
Block,0,24.5,-50,100,50,0.1,0,0,0,Wall,
Block,-27.75,7,35.875,0.5,15,9.5,0,0,0,Wall,
Block,-34.25,2,31,1.5,5,0.25,0,0,0,Wall,
Block,40.125,9.5,35.875,9.999998,10,0.25,0,90,0,Wall,
Block,-10.75,2,-19,1.5,5,0.25,0,0,0,Wall,
Block,-40.125,9.5,35.875,9.999998,10,0.25,0,90,0,Wall,
Block,39.25,2,31,1.5,5,0.25,0,0,0,Wall,
Block,-28.75,2,19,2.5,5,0.25,0,0,0,Wall,
