className,UIName,PosX,PosY,ScaleX,ScaleY,Rot,,
TimerUI,Timer,0,480,0.8,0.8,0,,
HPGaugeUI,HPGauge,0,-480,0.5,0.5,0,,
PointUI,BluePoint,270,400,0.7,0.7,0,Blue,
PointUI,RedPoint,-270,400,0.7,0.7,0,Red,
SimpleSprite,TeamBlue,275,480,0.5,0.5,0,SpriteData,Blue
SimpleSprite,TeamRed,-265,480,0.5,0.5,0,SpriteData,Red
SplashMessageUI,SplashMessage,0,200,0.8,0.8,0,3,
SplashMessageUI,RemainingTime,0,0,1,1,0,3,
SimpleSprite,PlayerLabel,-30,-430,0.4,0.4,0,SpriteData,Blue
Numbers,PlayerNumber,70,-304,0.41,0.41,0,1,
DirectionWithHasBallUI,DirectionWithHasBallUI,0,0,1,1,0,,
