ID,PosX,PosY,PosZ,ScaleX,ScaleY,ScaleZ,RotX,RotY,RotZ,Texture
Block,0,-0.5,0,50,0.1,50,0,0,0,Floor
Block,0,24.5,25,50,0.1,50,270,0,0,Wall
Block,25,24.5,0,50,0.1,50,270,90,0,Wall
Block,0,24.5,-25,50,0.1,50,90,0,0,Wall
Block,-25,24.5,0,50,0.1,50,270,270,0,Wall
Block,0,9.5,6,30,10,0.25,0,0,0,Wall
Block,0,9.5,-6,30,10,0.25,0,0,0,Wall
Block,0.00E+00,9.5,15.75,5,10,0.25,0,0,0,Wall
Block,0,9.5,-15.75,5,10,0.25,0,0,0,Wall
Block,15.125,9.5,10.875,10,10,0.25,0,90,0,Wall
Block,-15.125,9.5,10.875,10,10,0.25,0,90,0,Wall
Block,15.125,9.5,-10.875,10,10,0.25,0,90,0,Wall
Block,-15.125,9.5,-10.875,10,10,0.25,0,90,0,Wall
Block,8.750002,7,15.75,12.5,15,0.25,0,0,0,Wall
Block,-8.749998,7,15.75,12.5,15,0.25,0,0,0,Wall
Block,8.750002,7,-15.75,12.5,15,0.25,0,0,0,Wall
Block,-8.749998,7,-15.75,12.5,15,0.25,0,0,0,Wall
Block,14.25,2,6,1.5,5,0.25,0,0,0,Wall
Block,9.25,2,6,1.5,5,0.25,0,0,0,Wall
Block,-14.25,2,6,1.5,5,0.25,0,0,0,Wall
Block,-9.25,2,6,1.5,5,0.25,0,0,0,Wall
Block,-3.75,2,6,2.5,5,0.25,0,0,0,Wall
Block,3.75,2,6,2.5,5,0.25,0,0,0,Wall
Block,14.25,2,6,1.5,5,0.25,0,0,0,Wall
Block,-15.125,2,10.875,10,5,0.25,0,90,0,Wall
Block,15.125,2,10.875,10,5,0.25,0,90,0,Wall
Block,-2.749998,7,10.875,0.5,15,9.5,0,0,0,Wall
Block,2.750002,7,10.875,0.5,15,9.5,0,0,0,Wall
Block,14.25,2,-6,1.5,5,0.25,0,0,0,Wall
Block,9.25,2,-6,1.5,5,0.25,0,0,0,Wall
Block,-14.25,2,-6,1.5,5,0.25,0,0,0,Wall
Block,-9.25,2,-6,1.5,5,0.25,0,0,0,Wall
Block,-3.75,2,-6,2.5,5,0.25,0,0,0,Wall
Block,3.75,2,-6,2.5,5,0.25,0,0,0,Wall
Block,14.25,2,-6,1.5,5,0.25,0,0,0,Wall
Block,-15.125,2,-10.875,10,5,0.25,0,90,0,Wall
Block,15.125,2,-10.875,10,5,0.25,0,90,0,Wall
Block,-2.749998,7,-10.875,0.5,15,9.5,0,0,0,Wall
Block,2.750002,7,-10.875,0.5,15,9.5,0,0,0,Wall
Rack,-16,-0.3,-9.3,1,1,1,0,90,0,
Rack,-16,-0.3,9.3,1,1,1,0,90,0,
HideItem,0,-0.25,0,0,0,0,0,0,0,
