name, PosX, PosY, PosZ, ScaleX, ScaleY, ScaleZ, RotX, RotY, RotZ,,
Block,-38,0.7499999,86.62501,4,2,6.25,0,0,0,Wall,TRUE
Block,-38,0.6999999,68.625,4,2,6.25,0,0,0,Wall,TRUE
Block,51,9.5,0,2,20,204,0,0,0,Wall,TRUE
Block,0,0.5,89.50002,10,2,1,0,0,0,Wall,TRUE
Block,38,0.7,-78,4,2,25,0,0,0,Wall,TRUE
Block,-35,2.144257,-15.88017,10,5,5,0,0,0,Wall,TRUE
Block,25.44526,2.2,-9.11017,8.5,5,5,0,90,0,Wall,TRUE
Block,-38,0.6999999,-68.625,4,2,6.25,0,0,0,Wall,TRUE
Block,38,0.7,78,4,2,25,0,0,0,Wall,TRUE
Block,-23.75,2.2,-52.5,32.5,5,5,0,0,0,Wall,TRUE
Block,23.75,2.2,-52.5,32.5,5,5,0,0,0,Wall,TRUE
Block,37.25,2.2,24.4,14,5,5,0,90,0,Wall,TRUE
Block,0,-0.5,0,100,0.4,200,0,0,0,Floor,TRUE
Block,-38,0.7499999,-86.62501,4,2,6.25,0,0,0,Wall,TRUE
Block,-31.5,0.7499999,-88.25001,3,2,9,0,90,0,Wall,TRUE
Block,0,-0.7,0,108,0.4,208,0,0,0,Wall,TRUE
Block,-0.05000305,-3.3,79.95,1,1,1,0,270,0,Wall,TRUE
Block,0,9.5,-103,104,20,2,0,0,0,Wall,TRUE
Block,0,9.5,101,100,20,2,0,0,0,Wall,TRUE
Block,-17,2.25,-94.75001,7.500002,5,10,0,0,0,Wall,TRUE
Block,-51,9.5,0,2,20,204,0,0,0,Wall,TRUE
Block,-27.5,2.144257,18.88017,11,5,5,0,90,0,Wall,TRUE
Block,-27.5,2.144257,-18.88017,11,5,5,0,90,0,Wall,TRUE
Block,17,2.25,-94.75001,7.500002,5,10,0,0,0,Wall,TRUE
Block,25.44367,2.299677,9.11034,8.5,5,5,0,90,0,Wall,TRUE
Block,-31.5,0.7499999,88.25001,3,2,9,0,90,0,Wall,TRUE
Block,-17,2.25,94.75001,7.500002,5,10,0,0,0,Wall,TRUE
Block,-35,2.144257,15.88017,10,5,5,0,0,0,Wall,TRUE
Block,-23.75,2.2,52.5,32.5,5,5,0,0,0,Wall,TRUE
Block,0,9.5,103,104,20,2,0,0,0,Wall,TRUE
Block,0,0.5,-89.50002,10,2,1,0,0,0,Wall,TRUE
Block,17,2.25,94.75001,7.500002,5,10,0,0,0,Wall,TRUE
Block,0,9.5,-101,100,20,2,0,0,0,Wall,TRUE
Block,23.75,2.2,52.5,32.5,5,5,0,0,0,Wall,TRUE
Block,53,9.5,0,2,20,208,0,0,0,Wall,TRUE
Block,-53,9.5,0,2,20,208,0,0,0,Wall,TRUE
Block,37.25158,1.384409,-24.36473,14,5,5,0,90,0,Wall,TRUE
Container,-28.7,-0.3003225,77.55,1,1,1,0,90,0,Red,
Container,28,-0.2503223,-85.54842,1,1,1,0,0,0,Blue,
Container,-31.79842,-0.3003225,67.51983,1,1,1,0,90,0,Red,
Container,0,-0.3003227,-15.38,1,1,1,0,90,0,Green,
Container,27.14684,-0.3003227,-15.38,1,1,1,0,90,0,Green,
Container,-37.09683,-0.25,1.999999,1,1,1,0,90,0,Yellow,
Container,8.403165,-0.3003228,-15.38,1,1,1,0,90,0,Green,
Container,27.14525,-0.3003227,15.38017,1,1,1,0,90,0,Green,
Container,-8.045085,-0.3560655,15.4,1,1,1,0,90,0,Green,
Container,8.403165,-0.3003228,15.4,1,1,1,0,90,0,Green,
Container,45.5,-0.25,2,1,1,1,0,90,0,Yellow,
Container,0,-0.25,-40.86,1,1,1,0,0,0,Blue,
Container,-28.7,-0.3003225,-77.55,1,1,1,0,90,0,Blue,
Container,31.79842,-0.3003224,-67.51983,1,1,1,0,90,0,Blue,
Container,-4.153165,-0.3003227,-67.51983,1,1,1,0,90,0,Blue,
Container,-23.59683,-0.3003225,-67.51983,1,1,1,0,90,0,Blue,
Container,35.55,-0.3003225,-15.38,1,1,1,0,90,0,Green,
Container,-31.79842,-0.3003225,-67.51983,1,1,1,0,90,0,Blue,
Container,-37.09683,-0.25,-2,1,1,1,0,90,0,Yellow,
Container,4.25,-0.3003225,-67.51983,1,1,1,0,90,0,Blue,
Container,0,-0.25,32.4,1,1,1,0,0,0,Red,
Container,0,-0.3003227,15.4,1,1,1,0,90,0,Green,
Container,-27.98017,-0.3003223,45.79842,1,1,1,0,0,0,Red,
Container,23.39842,-0.3003224,-67.72742,1,1,1,0,90,0,Blue,
Container,28,-0.2503223,85.54842,1,1,1,0,0,0,Red,
Container,-45.5,-0.25,2,1,1,1,0,90,0,Yellow,
Container,-8.045085,-0.3560655,-15.38,1,1,1,0,90,0,Green,
Container,35.54842,-0.3003225,15.38017,1,1,1,0,90,0,Green,
Container,-23.59683,-0.3003225,67.51983,1,1,1,0,90,0,Red,
Container,0,-0.25,-32.4,1,1,1,0,0,0,Blue,
Container,-4.153165,-0.3003227,67.51983,1,1,1,0,90,0,Red,
Container,0,-0.25,40.86,1,1,1,0,0,0,Red,
Container,-27.98017,-0.3003223,37.59683,1,1,1,0,0,0,Red,
Container,31.79842,-0.3003224,67.51983,1,1,1,0,90,0,Red,
Container,-27.98017,-0.3003223,-45.79842,1,1,1,0,0,0,Blue,
